nim,password,role
1970,8fzKVwk0,admin
1971,ncRFaXdH,admin
1972,SKb1ws0q,admin
1973,m1pO6wKy,staff
1974,3ggGD47Z,admin
1975,sYdqrers,user
1976,Fisp8Pd8,staff
1977,xDkuegAY,user
1978,8XHOiJ2O,user
1979,6mozBk79,user
1980,69cnRGaP,staff
1981,WTiRGBCp,admin
1982,c1CySbj0,admin
1983,iidANgD4,user
1984,8qQjIFTc,user
1985,mhXSmFGD,user
1986,6bAlJhqQ,admin
1987,ZBpLRVZe,admin
1988,yl5LEjNf,admin
1989,xGw93fth,user
1990,bUGpPJED,admin
1991,1DilRA2s,user
1992,KFaWO2nk,staff
1993,txz9AjOo,user
1994,yYtE9R2c,user
1995,Xomo7QqS,user
1996,mVSQtpGY,staff
1997,4XnHZ0de,admin
1998,KNKmF8e6,admin
1999,DuWRVZZd,user
